program_code,program_name,sub-plan_code,sub-plan_name,complexity_score,total_degrees_awarded,less_than_4,four,four_and_a_half,five,five_and_a_half,six,greater_than_6
PERFBMUS,Performance,PERCUSS,Percussion,178,4,0,2,3,4,4,4,0
GLSBA,Global Studies,GSHRMS,Global Societies - Hum Right,44,6,1,4,6,6,6,6,0
JOURBA,Journalism,BRDCST,Broadcast Journalism,76,52,4,49,50,50,51,52,0
EASBA,East Asian Studies,JLGI,Japanese Language,41,12,3,7,9,10,11,12,0
EENBSEEN,Environmental Engineering,-,Not Available,278,11,0,9,9,11,11,11,0
GLSBA,Global Studies,HRJSM,"Human Rights, Jus, & Soc Move",44,4,1,4,4,4,4,4,0
GLSBA,Global Studies,GLH,Global Health,44,4,1,3,4,4,4,4,0
ESOCBA,eSociety,-,Not Available,42,1,0,1,1,1,1,1,0
PERFBMUS,Performance,CELLO,Cello,177,3,0,3,3,3,3,3,0
MMDIBSED,Mild Moderate Disabilities,-,Not Available,44,16,1,12,12,16,16,16,0
SBEBSSBE,Sustainable Built Environments,SRED,Sust Real Estate Development,53,3,0,1,3,3,3,3,0
APHYSBS,Applied Physics,-,Not Available,263,3,0,1,1,2,3,3,0
GLSTBA,Global Studies,GLHRMS,Global Societies - Hum Right,44,6,1,6,6,6,6,6,0
FOODBA,Food Studies,-,Not Available,48,2,0,2,2,2,2,2,0
LINGBA,Linguistics,LILA,Linguistics and Languages,42,7,3,5,7,7,7,7,0
GNSTBGS,General Studies,GLIC,Glbl & Intrcultral Understand,48,10,0,3,4,4,4,4,6
APSBAPS,Applied Science,CYBR,Cyber Operations,68,7,0,1,2,2,3,3,4
NCSBS,Neuroscience & Cognitive Sci,NBI,Neurobiology,94,86,4,74,79,83,85,85,1
MKTGBSBA,Marketing,-,Not Available,70,527,36,474,510,519,523,524,3
STDOBFA,Studio Art,ID,Illustration and Design,44,39,2,20,29,34,36,36,3
PSYCBS,Psychology,-,Not Available,88,177,22,134,150,167,167,168,9
CYBRBAPS,Cyber Operations,DEF,Defense and Forensics,68,5,1,2,2,3,3,3,2
FRENBA,French,LANGLITC,"Language, Literature & Culture",116,11,2,6,6,8,8,9,2
AFSBA,Africana Studies,-,Not Available,42,11,0,3,4,7,7,7,4
GEOSBS,Geosciences,EOC,"Earth, Ocean, and Climate",103,8,0,6,7,7,7,7,1
ELEMBAED,Elementary Education,BIL,Bilingual,67,29,0,18,20,22,23,26,3
BIOCBS,Biochemistry,-,Not Available,161,76,3,61,65,69,69,72,4
POLBA,Political Science,INTREL,International Relations,42,100,17,68,77,88,92,94,6
APSBAPS,Applied Science,ECH,Early Childhood Education,44,1,0,0,0,0,0,0,1
MATHBS,Mathematics,MTEACH,Education,113,10,0,7,8,10,10,10,0
EASBA,East Asian Studies,CCLI,Chinese Culture,41,5,2,4,4,4,4,4,1
GEOSBS,Geosciences,GEOPHYS,Geophysics,143,30,5,26,26,28,28,29,1
APSBAPS,Applied Science,ORGL,Organizational Leadership,57,3,0,0,0,1,1,1,2
NUSCBS,Nutritional Sciences,DIET,Dietetics,372,134,1,86,94,123,127,130,4
MCBBS,Molecular & Cellular Biology,-,Not Available,143,178,17,136,149,163,168,173,5
INEBSINE,Industrial Engineering,-,Not Available,192,87,1,32,46,76,83,87,0
GERSBA,German Studies,-,Not Available,41,6,0,1,1,3,3,6,0
STATDSBS,Statistics and Data Science,-,Not Available,133,13,2,9,9,11,11,12,1
